Destination,FlightNumber,Code,lat,lng,country,Date,Time,Airline,Armenian,DayOfWeek,Status
Moscow,3F 312,DME,55.7558,37.6178,Russia,2023-10-17,00:30:00,Fly One,1,Tuesday,Onetime
Doha,QR 285,DOH,25.2867,51.5333,Qatar,2023-10-17,00:50:00,Qatar Airways,0,Tuesday,Onetime
Moscow,JI 103,SVO,55.7558,37.6178,Russia,2023-10-17,00:55:00,Armenian Airlines,1,Tuesday,Onetime
Moscow,G6 396,VKO,55.7558,37.6178,Russia,2023-10-17,01:20:00,Fly Arna,1,Tuesday,Onetime
Moscow,UT 785,VKO,55.7558,37.6178,Russia,2023-10-17,01:25:00,Utair,0,Tuesday,Onetime
Istanbul,PC 550,SAW,41.0136,28.955,Turkey,2023-10-17,02:35:00,Pegasus Airlines,0,Tuesday,Onetime
Warsaw,LO 727,WAW,52.23,21.0111,Poland,2023-10-17,03:20:00,LOT Polish Airlines,0,Tuesday,Onetime
Athens,A3 898,ATH,37.9842,23.7281,Greece,2023-10-17,03:20:00,Aegean Airlines,0,Tuesday,Onetime
Vienna,OS 641,VIE,48.2083,16.3725,Austria,2023-10-17,03:55:00,Austrian Airlines,0,Tuesday,Onetime
Sharm El Sheikh,SM 993,SSH,27.9158,34.3297,Egypt,2023-10-17,04:35:00,Air Cairo,0,Tuesday,Onetime
Moscow,5G 710,SVO,55.7558,37.6178,Russia,2023-10-17,05:00:00,Shirak Avia,1,Tuesday,Onetime
Batumi,JI 301,BUS,41.6458,41.6417,Georgia,2023-10-17,05:00:00,Armenian Airlines,1,Tuesday,Onetime
Moscow,SU 1966,SVO,55.7558,37.6178,Russia,2023-10-17,05:45:00,Aeroflot,0,Tuesday,Delay
Sharm El Sheikh,AMV 2112,SSH,27.9158,34.3297,Egypt,2023-10-17,06:20:00,AMC Airlines,0,Tuesday,Onetime
Abu Dhabi,5W 7013,AUH,24.4667,54.3667,United Arab Emirates,2023-10-17,08:50:00,Wizz Air,0,Tuesday,Onetime
Moscow,3F 326,VKO,55.7558,37.6178,Russia,2023-10-17,09:00:00,Fly One,1,Tuesday,Onetime
Beirut,ME 275,BEY,33.8869,35.5131,Lebanon,2023-10-17,09:45:00,Middle East Airlines,0,Tuesday,Onetime
Sochi,FV 6719,AER,43.5853,39.7203,Russia,2023-10-17,10:00:00,Rossiya Airlines,0,Tuesday,Onetime
Sharjah,G9 246,SHJ,25.3575,55.3908,United Arab Emirates,2023-10-17,11:05:00,Air Arabia,0,Tuesday,Onetime
Dubai,FZ 717,DXB,25.2631,55.2972,United Arab Emirates,2023-10-17,11:15:00,Flydubai,0,Tuesday,Onetime
St.Petersburg,3F 334,LED,59.9343,30.3351,Russia,2023-10-17,11:30:00,Fly One,1,Tuesday,Onetime
Larnaca,CY 414,LCA,34.9167,33.6333,Cyprus,2023-10-17,11:35:00,Cyprus Airways,0,Tuesday,Onetime
Moscow,SU 1860,SVO,55.7558,37.6178,Russia,2023-10-17,12:50:00,Aeroflot,0,Tuesday,Ontime
